id,transaction_reference,account_id,user_id,merchant_id,device_id,session_id,payment_rail,payment_agent_id,timestamp,amount,currency,transaction_status,transaction_type,location_country,location_region,location_city,synthetic_ip,metadata_json
53a078b7-0d07-402e-b0ed-1600116379e9,SYN_TXN_00011029,50160c9c-42a9-4177-8208-504bee90b4ad,3752f0de-0064-420c-9b07-f1ab670ad8b6,ff327f25-6465-448e-bbac-a80934d1cede,245b949c-6450-4639-a009-0ab1a45ea13d,,UPI,,2026-07-27T17:10:10.974971+00:00,288.05,INR,DECLINED,TRANSFER,SYN_US,SYN_WEST,SYN_TOWN_D,198.51.100.127,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
06c9e98c-cd41-4f48-9496-5cc28b9f1bfc,SYN_TXN_00001340,5f9ab1be-82b4-4b7e-86b3-e3ed68fb18da,74c99f6c-389d-4914-9974-ca89c35c232f,b6c6b51d-4f5c-4134-a45a-1b56b38993e8,a4242701-293a-4d78-a70f-ab1572a018e1,84f4b545-b479-45e6-a0fb-0c4dfb3fee5a,CARD,,2026-07-27T17:10:39.974971+00:00,1631.26,INR,APPROVED,TRANSFER,SYN_UK,SYN_CENTRAL,SYN_METRO_A,203.0.113.123,"{'archetype': 'TRAVELER', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
44944a4c-56ce-44d2-b738-1ece6b367ad9,SYN_TXN_00000534,d6968f57-f3ac-4921-82bc-12674553970c,89e01ec3-d8b3-4f6b-9592-043be1f5df78,5ebab5cb-be48-460d-8028-acf0ca5e9a92,ed0452a6-805d-4b6a-bfaa-bf11a8be2322,36cb300f-9942-4f1f-806e-2119a6b7b532,UPI,,2026-07-27T17:11:20.974971+00:00,3712.27,INR,APPROVED,PURCHASE,SYN_UK,SYN_SOUTH,SYN_TOWN_D,192.0.2.36,"{'archetype': 'BUSINESS', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
8de16da8-4bf6-4c04-99be-927e78f0d452,SYN_TXN_00010040,adfbb8cd-fa5c-4004-b76e-c621f171e89b,5cb8ceb5-5971-404c-892a-b56327ec8322,3406c37b-d40a-408e-bc6b-ed62a3387bd2,10e47790-3099-479e-aa4e-7eb93a05192b,4ce7cbb9-6ea8-4ec2-ad97-5966f0bfc4e2,UPI,,2026-07-27T17:16:28.974971+00:00,563.56,INR,APPROVED,TRANSFER,SYN_UK,SYN_WEST,SYN_METRO_B,198.51.100.107,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
e2c93b8a-68ed-4701-a564-824c435942c1,SYN_TXN_00020659,decd10b9-88fe-4520-a4e6-2be93f990c73,e326d1ee-16d2-4f3b-b6bb-ba2492c67a6b,c1d21369-0672-46ae-86a7-3855888a7745,6e9a9590-f332-47bd-b961-788983c68b8f,,UPI,,2026-07-27T17:28:03.974971+00:00,292.83,INR,APPROVED,PURCHASE,SYN_SINGAPORE,SYN_WEST,SYN_METRO_A,192.0.2.125,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
bd43125d-44af-4911-bf37-45b22ea55105,SYN_TXN_00023039,56a78ee0-9ea4-4fdd-b267-31a08ca344f8,42a476f3-097a-414d-aac3-80abc9961a4a,4fe8ffc8-37dc-4ad2-9c96-e811714611bb,9e646975-c2a7-4343-a54c-70efdc1670e4,,UPI,,2026-07-27T17:32:32.974971+00:00,284.53,INR,APPROVED,PURCHASE,SYN_SINGAPORE,SYN_EAST,SYN_METRO_A,192.0.2.71,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
2d2b7d96-e398-4507-ae89-4105dfbd8e08,SYN_TXN_00001836,6d35f5aa-7993-43d8-91dd-6bd36e2e42dd,b0bafaef-e03d-4edb-ab2b-d586e0483e58,6794108f-b49e-4bb8-af85-b02294227de1,6516034c-110a-4da8-8586-55c5e162c99e,7695047b-afed-4b42-983a-80ac5c97bb54,UPI,,2026-07-27T17:43:37.974971+00:00,1775.19,INR,APPROVED,PURCHASE,SYN_INDIA,SYN_NORTH,SYN_CITY_C,203.0.113.131,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
53f802e8-928e-43ac-be9d-f588cb0b2148,SYN_TXN_00015488,e1a31761-8121-4325-8122-a116e2c98191,571899ca-3926-4d0e-9607-45e86e141431,8329b781-3424-4ff4-9cb7-e6893afb8c5a,50cf315b-8024-40c9-813f-738fc80c6e86,b2a80782-b60d-4865-913c-0f39a217fb0f,UPI,,2026-07-27T17:53:54.974971+00:00,422.08,INR,APPROVED,PURCHASE,SYN_INDIA,SYN_NORTH,SYN_TOWN_D,192.0.2.193,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
f02c24f3-2d11-4142-91f5-7273ed4e8141,SYN_TXN_00023242,7b3a9fde-5275-41ac-9355-abe3a65e31f6,19365420-cbd9-48ee-8b0d-ad80e201d523,3406c37b-d40a-408e-bc6b-ed62a3387bd2,04466303-317a-40ca-85b9-5c7ec18fa98c,83be33b5-f1c7-43ca-b12c-dcbb7be9eb14,UPI,,2026-07-27T18:02:28.974971+00:00,289.15,INR,APPROVED,TRANSFER,SYN_INDIA,SYN_WEST,SYN_CITY_C,192.0.2.187,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
7f7c5507-1764-492a-ad3d-97e9a8e18907,SYN_TXN_00006409,6bd10512-fe82-404c-85c4-cee4c87bcba0,61ddedd7-186e-4ad9-870a-3ad3829dac50,ff327f25-6465-448e-bbac-a80934d1cede,66644629-c72a-41a8-9251-48c153ce22af,6d27d7a0-9a23-456e-87a8-85f8937a3359,WALLET,,2026-07-27T18:02:38.974971+00:00,1019.61,INR,APPROVED,PURCHASE,SYN_US,SYN_SOUTH,SYN_METRO_B,198.51.100.191,"{'archetype': 'NIGHT_OWL', 'dataset_type': 'BENIGN', 'simulation_batch': 1}"
